"","op_name","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","WOE_Opening_Name"
"1","ALEKHINE DEFENSE","TRUE",34,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_d4_Bc4_Bb3","Nf6_Nd5_d6_Nb6_dxe5",0.743553680262541,"DEFENSE",0.214844748499515
"2","ALEKHINE DEFENSE","TRUE",61,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_Nf3_c4_d4","Nf6_Nd5_c6_Nb4_N8a6",1.86627335299902,"DEFENSE",0.214844748499515
"3","ALEKHINE DEFENSE","TRUE",155,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_Bc4_Bb3_Nf3","Nf6_Nd5_Nb6_Nc6_d6",1.00798525798526,"DEFENSE",0.214844748499515
"4","ALEKHINE DEFENSE","TRUE",61,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_e5_Qf3_c3","e6_Nf6_Ne4_Bb4+_f5",1.23789473684211,"DEFENSE",0.214844748499515
"5","ALEKHINE DEFENSE","FALSE",21,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_d3_Nf3_c3_b4","Nf6_e5_Bb4+_Ba5_Bb6",1,"DEFENSE",0.214844748499515
"6","ALEKHINE DEFENSE","TRUE",98,"OUTOFTIME","BLACK","BLITZ","e4","Nf6","e4_f3_Nc3_d4_Bd2","Nf6_d5_c6_Qa5_b5",0.957960644007156,"DEFENSE",0.214844748499515
"7","ALEKHINE DEFENSE","TRUE",54,"RESIGN","BLACK","STANDARD","e4","Nf6","e4_Nc3_d4_Nf3_Bc4","Nf6_g6_Bg7_O-O_d5",1.04754098360656,"DEFENSE",0.214844748499515
"8","ALEKHINE DEFENSE","FALSE",20,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_Bc4_Bb3_Qh5","Nf6_Nd5_Nb6_d6_e6",0.683680322364003,"DEFENSE",0.214844748499515
"9","ALEKHINE DEFENSE","TRUE",2,"RESIGN","BLACK","STANDARD","e4","Nf6","e4____","Nf6____",1.1985049833887,"DEFENSE",0.214844748499515
"10","ALEKHINE DEFENSE","TRUE",64,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_c4_Nf3_exd6","Nf6_Nd5_Nb6_d6_cxd6",0.865021770682148,"DEFENSE",0.214844748499515
"11","ALEKHINE DEFENSE","TRUE",122,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_c4_b3_d4","Nf6_Nd5_Nb6_g6_Bg7",0.915243902439024,"DEFENSE",0.214844748499515
"12","ALEKHINE DEFENSE","TRUE",43,"RESIGN","WHITE","BLITZ","e4","d5","e4_exd5_Nc3_dxc6_Bb5","d5_Nf6_c6_e5_bxc6",0.96961894953656,"DEFENSE",0.214844748499515
"13","ALEKHINE DEFENSE","TRUE",81,"MATE","WHITE","STANDARD","e4","Nf6","e4_d3_Qxh5_Qe5_Qxh8","Nf6_Nh5_g6_h6_c5",1.30172413793103,"DEFENSE",0.214844748499515
"14","ALEKHINE DEFENSE","TRUE",49,"OUTOFTIME","WHITE","STANDARD","e4","Nf6","e4_e5_Qf3_Qf5_Qg4","Nf6_Ne4_Ng5_e6_Nc6",1.07278241091736,"DEFENSE",0.214844748499515
"15","ALEKHINE DEFENSE","FALSE",3,"RESIGN","BLACK","BLITZ","d3","Nf6","d3_e4___","Nf6____",0.706214689265537,"DEFENSE",0.214844748499515
"16","ALEKHINE DEFENSE","TRUE",48,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_d3_Bg5_e5_Bxe7","Nf6_e6_Be7_Nd5_Qxe7",1.11033274956217,"DEFENSE",0.214844748499515
"17","ALEKHINE DEFENSE","TRUE",24,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_d4_Nf3_Be2","Nf6_Nd5_d6_Bg4_f6",1.18457943925234,"DEFENSE",0.214844748499515
"18","ALEKHINE DEFENSE","TRUE",46,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_d4_Nf3_Bg5","Nf6_Nd5_d6_Nc6_h6",0.904161412358134,"DEFENSE",0.214844748499515
"19","ALEKHINE DEFENSE","TRUE",42,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_Nf3_d3_Be3_Be2","Nf6_Nxe4_Nd6_Na6_Nb4",1.26701966717095,"DEFENSE",0.214844748499515
"20","ALEKHINE DEFENSE","TRUE",66,"OUTOFTIME","BLACK","BLITZ","e4","d5","e4_Nc3_e5_exf6_bxc3","d5_Nf6_d4_dxc3_exf6",0.9984375,"DEFENSE",0.214844748499515
"21","ALEKHINE DEFENSE","TRUE",52,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_Bc4_Nc3_Bb3","Nf6_Nd5_c6_Nb6_g6",0.992632283991962,"DEFENSE",0.214844748499515
"22","ALEKHINE DEFENSE","TRUE",31,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_c4_a3_d4","Nf6_Nd5_Nb4_N4c6_d6",0.996840442338073,"DEFENSE",0.214844748499515
"23","ALEKHINE DEFENSE","TRUE",93,"RESIGN","WHITE","BLITZ","e4","d5","e4_exd5_Nc3_dxc6_Nf3","d5_Nf6_c6_Nxc6_e5",1.01663467690339,"DEFENSE",0.214844748499515
"24","ALEKHINE DEFENSE","TRUE",87,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_Nc3_Nf3_h3_d4","Nf6_d6_Bg4_Be6_Na6",1.17339449541284,"DEFENSE",0.214844748499515
"25","ALEKHINE DEFENSE","TRUE",80,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_Qf3_Bc4_d3_Bg5","Nf6_Nc6_d6_a5_Bg4",1.04063604240283,"DEFENSE",0.214844748499515
"26","ALEKHINE DEFENSE","TRUE",49,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_e5_Nf3_Nc3","e6_Nf6_Ne4_d5_f5",1.1721094439541,"DEFENSE",0.214844748499515
"27","ALEKHINE DEFENSE","TRUE",74,"RESIGN","BLACK","BULLET","e4","Nf6","e4_e5_d4_exd6_Nf3","Nf6_Nd5_d6_cxd6_Nc6",0.8864522417154,"DEFENSE",0.214844748499515
"28","ALEKHINE DEFENSE","TRUE",71,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_Bc4_Bb3_exd6","Nf6_Nd5_Nb6_d5_cxd6",0.991097922848665,"DEFENSE",0.214844748499515
"29","ALEKHINE DEFENSE","TRUE",85,"MATE","WHITE","STANDARD","e4","Nf6","e4_Nc3_exd5_Nxd5_Nf3","Nf6_d5_Nxd5_Qxd5_Bg4",0.986013986013986,"DEFENSE",0.214844748499515
"30","ALEKHINE DEFENSE","TRUE",2,"RESIGN","BLACK","BLITZ","e4","Nf6","e4____","Nf6____",1.00197530864198,"DEFENSE",0.214844748499515
"31","ALEKHINE DEFENSE","TRUE",23,"OUTOFTIME","WHITE","BLITZ","e4","e6","e4_d4_e5_Bd3_Nd2","e6_Nf6_Ne4_d5_f5",1.15056312981624,"DEFENSE",0.214844748499515
"32","ALEKHINE DEFENSE","TRUE",102,"MATE","BLACK","STANDARD","e4","Nf6","e4_Qf3_Bc4_d3_exd5","Nf6_d6_Be6_d5_Bxd5",0.825333333333333,"DEFENSE",0.214844748499515
"33","ALEKHINE DEFENSE","TRUE",34,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_d4_exd6_Bc4","Nf6_Nd5_d6_exd6_Nb6",1.04032258064516,"DEFENSE",0.214844748499515
"34","ALEKHINE DEFENSE","TRUE",26,"OUTOFTIME","BLACK","STANDARD","e4","Nf6","e4_Nc3_e5_exf6_Nf3","Nf6_d5_d4_dxc3_exf6",0.99182156133829,"DEFENSE",0.214844748499515
"35","ALEKHINE DEFENSE","TRUE",57,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_c4_d4_Nc3","Nf6_Nd5_Nb4_d6_Qd7",1.13866666666667,"DEFENSE",0.214844748499515
"36","ALEKHINE DEFENSE","FALSE",163,"MATE","WHITE","BLITZ","e4","Nf6","e4_Nc3_d4_e5_Bd2","Nf6_e6_Bb4_Nd5_Nxc3",0.967904342353682,"DEFENSE",0.214844748499515
"37","ALEKHINE DEFENSE","TRUE",95,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_Nf3_Bc4_O-O","Nf6_Nd5_e6_Ne7_Nf5",1.08952837729816,"DEFENSE",0.214844748499515
"38","ALEKHINE DEFENSE","TRUE",107,"MATE","WHITE","STANDARD","e4","Nf6","e4_Qf3_Bc4_d3_Qe3","Nf6_h5_d6_Bg4_a6",1.24377745241581,"DEFENSE",0.214844748499515
"39","ALEKHINE DEFENSE","FALSE",61,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_c4_d4_Bxf4","Nf6_Nd5_Nf4_Nc6_Nb4",1.6751968503937,"DEFENSE",0.214844748499515
"40","ALEKHINE DEFENSE","TRUE",85,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_c4_d4_c5","Nf6_Nd5_Nb6_f5_Nd5",0.956862745098039,"DEFENSE",0.214844748499515
"41","ALEKHINE DEFENSE","FALSE",35,"MATE","WHITE","STANDARD","e4","Nf6","e4_Nc3_Nf3_exd5_Bc4","Nf6_Nc6_d5_Nxd5_Nxc3",1.11695278969957,"DEFENSE",0.214844748499515
"42","ALEKHINE DEFENSE","TRUE",54,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_Bc4_Bb3_Nf3","Nf6_Nd5_Nb6_d6_Bg4",0.994855305466238,"DEFENSE",0.214844748499515
"43","ALEKHINE DEFENSE","TRUE",31,"RESIGN","WHITE","STANDARD","e4","e6","e4_d4_e5_Nh3_Qe2","e6_Nf6_Ne4_d6_f5",1.18821936357481,"DEFENSE",0.214844748499515
"44","ALEKHINE DEFENSE","TRUE",107,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_c4_Nf3_exd6","Nf6_Nd5_Nb6_d6_exd6",1.08907103825137,"DEFENSE",0.214844748499515
"45","ALEKHINE DEFENSE","TRUE",39,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_d3_Bg5_Nc3_Bh4","Nf6_c5_Nc6_h6_d5",1.0589417280643,"DEFENSE",0.214844748499515
"46","ALEKHINE DEFENSE","TRUE",21,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_Nc3_exd5_Nxd5_Qf3","Nf6_d5_Nxd5_Qxd5_e6",0.989763275751759,"DEFENSE",0.214844748499515
"47","ALEKHINE DEFENSE","TRUE",30,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_h3_Qf3_g4_g5","Nf6_Nxe4_Nf6_e6_Nd5",0.571365444100751,"DEFENSE",0.214844748499515
"48","ALEKHINE DEFENSE","TRUE",59,"MATE","WHITE","BLITZ","e4","d5","e4_Nc3_exd5_Nf3_Be2","d5_Nf6_Nxd5_Bg4_Nf4",1.45587106676899,"DEFENSE",0.214844748499515
"49","ALEKHINE DEFENSE","TRUE",51,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_d4_c4_f4","Nf6_Nd5_d6_Nb6_e6",1.4519890260631,"DEFENSE",0.214844748499515
"50","ALEKHINE DEFENSE","TRUE",83,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_c4_Nc3_f4","Nf6_Nd5_Nb6_d6_dxe5",1.06429883649724,"DEFENSE",0.214844748499515
"51","ALEKHINE DEFENSE","FALSE",41,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_d4_c4_f4","Nf6_Nd5_d6_Nb6_g6",1.50334672021419,"DEFENSE",0.214844748499515
"52","ALEKHINE DEFENSE","TRUE",9,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_c4_d4_Bxf4","Nf6_Nd5_Nf4_c6_",1.44247787610619,"DEFENSE",0.214844748499515
"53","ALEKHINE DEFENSE","TRUE",77,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_d4_c4_f4","Nf6_Nd5_d6_Nb6_Bf5",0.982269503546099,"DEFENSE",0.214844748499515
"54","ALEKHINE DEFENSE","TRUE",55,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_d4_c4_exd6","Nf6_Nd5_d6_Nb6_cxd6",0.998663101604278,"DEFENSE",0.214844748499515
"55","ALEKHINE DEFENSE","TRUE",9,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_d3_Bxg5_Bxd8","Nf6_Ne4_Ng5_e6_",1.18494623655914,"DEFENSE",0.214844748499515
"56","ALEKHINE DEFENSE","TRUE",122,"MATE","BLACK","STANDARD","e4","Nf6","e4_Nc3_exd5_Nxd5_Nf3","Nf6_d5_Nxd5_Qxd5_Bg4",0.85412147505423,"DEFENSE",0.214844748499515
"57","ALEKHINE DEFENSE","FALSE",57,"MATE","WHITE","STANDARD","e4","Nf6","e4_Qf3_c3_Bc4_b4","Nf6_Nc6_e5_Qe7_Nd8",1.47637795275591,"DEFENSE",0.214844748499515
"58","ALEKHINE DEFENSE","TRUE",37,"MATE","WHITE","BLITZ","e4","Nf6","e4_Nc3_Bc4_d3_h3","Nf6_g6_Bh6_Ng4_Nf6",1.29580936729663,"DEFENSE",0.214844748499515
"59","ALEKHINE DEFENSE","FALSE",64,"RESIGN","BLACK","STANDARD","e4","Nf6","e4_e5_Bc4_Bb3_d4","Nf6_Nd5_Nb6_d5_Nc6",1.04353835521769,"DEFENSE",0.214844748499515
"60","ALEKHINE DEFENSE","TRUE",80,"MATE","BLACK","BLITZ","e4","Nf6","e4_Nf3_Be2_O-O_d4","Nf6_Nxe4_d5_c5_cxd4",0.740271097507652,"DEFENSE",0.214844748499515
"61","ALEKHINE DEFENSE","TRUE",95,"RESIGN","WHITE","BLITZ","e4","d5","e4_exd5_Nc3_dxc6_Nf3","d5_Nf6_c6_Nxc6_Bf5",0.974570883661793,"DEFENSE",0.214844748499515
"62","ALEKHINE DEFENSE","FALSE",76,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_c4_g3_f4","Nf6_Nd5_Nf4_Ne6_d6",0.958299919807538,"DEFENSE",0.214844748499515
"63","ALEKHINE DEFENSE","TRUE",103,"OUTOFTIME","WHITE","BLITZ","e4","Nf6","e4_e5_Bc4_d3_exf6","Nf6_Nd5_Nb6_f6_exf6",1.14335360556038,"DEFENSE",0.214844748499515
"64","ALEKHINE DEFENSE","TRUE",96,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_d4_exd6_Nf3","Nf6_Nd5_d6_exd6_Nc6",0.964147821290678,"DEFENSE",0.214844748499515
"65","ALEKHINE DEFENSE","TRUE",55,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_c4_d4_f4","Nf6_Nd5_Nb6_d6_Bf5",0.980424143556281,"DEFENSE",0.214844748499515
"66","ALEKHINE DEFENSE","TRUE",54,"RESIGN","BLACK","BLITZ","d3","Nf6","d3_e4_c4_f3_b3","Nf6_g6_d6_Bg7_Nc6",0.666886979510905,"DEFENSE",0.214844748499515
"67","ALEKHINE DEFENSE","TRUE",43,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_d4_Nf3_dxe5","Nf6_Nd5_d6_dxe5_e6",0.921942224953903,"DEFENSE",0.214844748499515
"68","ALEKHINE DEFENSE","TRUE",46,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_Nc3_e5_exf6_fxg7","Nf6_d5_d4_dxc3_cxd2+",0.906903103229892,"DEFENSE",0.214844748499515
"69","ALEKHINE DEFENSE","TRUE",59,"MATE","WHITE","STANDARD","e4","Nf6","e4_e5_d4_Nf3_Be2","Nf6_Ng8_g6_d6_Nc6",1.04552352048558,"DEFENSE",0.214844748499515
"70","ALEKHINE DEFENSE","FALSE",87,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_d3_b3_d4","Nf6_Ne4_Nc5_d6_Ne4",0.975077881619938,"DEFENSE",0.214844748499515
"71","ALEKHINE DEFENSE","FALSE",69,"MATE","WHITE","STANDARD","e4","Nf6","e4_e5_Qxh5_Qd1_d4","Nf6_Nh5_g6_d5_e6",0.758443465491924,"DEFENSE",0.214844748499515
"72","ALEKHINE DEFENSE","TRUE",10,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_e5_Bc4_Bxd5_d4","Nf6_Nd5_e6_exd5_c6",1.00500417014178,"DEFENSE",0.214844748499515
"73","ALEKHINE DEFENSE","TRUE",118,"MATE","BLACK","STANDARD","e4","Nf6","e4_e5_d4_c3_Nf3","Nf6_Nd5_e6_Be7_d6",1.1240632805995,"DEFENSE",0.214844748499515
"74","ALEKHINE DEFENSE","FALSE",47,"MATE","WHITE","BLITZ","e4","Nf6","e4_e5_Nf3_c4_cxd5","Nf6_Nd5_d6_dxe5_Qxd5",1.65649606299213,"DEFENSE",0.214844748499515
"75","ALEKHINE DEFENSE","TRUE",39,"RESIGN","WHITE","STANDARD","e4","Nf6","e4_e5_c4_c5_Bc4","Nf6_Nd5_Nb6_Nd5_e6",0.971583220568336,"DEFENSE",0.214844748499515
"76","ALEKHINE DEFENSE","TRUE",24,"MATE","BLACK","STANDARD","e4","Nf6","e4_e5_Nf3_Nc3_Nxd5","Nf6_Nd5_d6_dxe5_Qxd5",0.855788761002031,"DEFENSE",0.214844748499515
"77","ALEKHINE DEFENSE","TRUE",35,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_d4_f4_dxe5","Nf6_Nd5_d6_dxe5_e6",1.26539923954373,"DEFENSE",0.214844748499515
"78","ALEKHINE DEFENSE","TRUE",47,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_d4_Nf3_Bc4","Nf6_Nd5_d6_Bg4_e6",1.19707602339181,"DEFENSE",0.214844748499515
