X,P21,rated,turns,victory_status,winner,pace_type,W1,B1,W_First5,B_First5,Rating_WB,opening_strategy,op_name,rating_bins,ID_unit,Prob,Stratum
1,SLAV DEFENSE,FALSE,13,OUTOFTIME,WHITE,STANDARD,d4,d5,d4_c4_cxd5_dxe6_Nf3,d5_c6_e6_fxe6_Bb4+,1.259445844,DEFENSE,SLAV DEFENSE,Equal,1,0.75,1
2,NIMZOWITSCH DEFENSE,TRUE,16,RESIGN,BLACK,BLITZ,d4,Nc6,d4_e4_f4_dxe5_fxe5,Nc6_e5_f6_fxe5_Nxe5,1.048374306,DEFENSE,NIMZOWITSCH DEFENSE,Equal,2,0.75,1
3,KING'S PAWN GAME,TRUE,61,MATE,WHITE,BLITZ,e4,e5,e4_d3_Be3_Be2_Nd2,e5_d6_c6_b5_a5,0.997333333,NO_DEFENSE,KING'S PAWN GAME,Equal,3,0.75,1
5,PHILIDOR DEFENSE,TRUE,95,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_d4_d5_a3,e5_d6_Nc6_Nb4_Na6,1.0367597,DEFENSE,PHILIDOR DEFENSE,Equal,5,0.75,1
7,BLACKMAR-DIEMER GAMBIT,TRUE,33,RESIGN,WHITE,BLITZ,d4,d5,d4_e4_Nc3_f3_Nxf3,d5_dxe4_Nf6_exf3_Nc6,1.068165847,DEFENSE,OTHER,Equal,6,0.75,1
9,ITALIAN GAME,TRUE,66,RESIGN,BLACK,STANDARD,e4,e5,e4_Bc4_Nf3_d3_Qxf3,e5_Nc6_Nd4_Nxf3+_Nf6,1.033764368,NO_DEFENSE,ITALIAN GAME,Equal,8,0.75,1
10,SCANDINAVIAN DEFENSE,TRUE,119,MATE,WHITE,BLITZ,e4,d5,e4_exd5_Nc3_Be2_d4,d5_Qxd5_Qe5+_Na6_Qf5,1.142266336,DEFENSE,SCANDINAVIAN DEFENSE,Equal,9,0.75,1
11,VAN'T KRUIJS OPENING,FALSE,39,MATE,WHITE,STANDARD,e3,e6,e3_d4_Bd3_Nf3_Nc3,e6_d6_c6_Be7_Nf6,1.085691824,NO_DEFENSE,VAN'T KRUIJS OPENING,Equal,10,0.75,1
12,FRENCH DEFENSE,FALSE,38,RESIGN,BLACK,STANDARD,e4,e6,e4_d4_e5_c3_Nf3,e6_d5_c5_Nc6_Qb6,0.739689341,DEFENSE,FRENCH DEFENSE,Equal,11,0.75,1
13,FRENCH DEFENSE,FALSE,60,RESIGN,BLACK,BLITZ,e4,e6,e4_Nf3_exd5_Qe2+_Nc3,e6_d5_exd5_Be7_Nf6,0.713326446,DEFENSE,FRENCH DEFENSE,Equal,12,0.75,1
15,FOUR KNIGHTS GAME,FALSE,31,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_Bc4_Nc3_O-O,e5_Nc6_Nf6_Bc5_O-O,0.958808063,NO_DEFENSE,FOUR KNIGHTS GAME,Equal,14,0.75,1
20,HORWITZ DEFENSE,FALSE,3,RESIGN,WHITE,STANDARD,d4,e6,d4_Nc3___,e6____,1.024344569,DEFENSE,HORWITZ DEFENSE,Equal,19,0.75,1
22,ENGLISH OPENING,TRUE,36,RESIGN,WHITE,BLITZ,c4,Nc6,c4_Nc3_g3_Bg2_e3,Nc6_e5_Bc5_Nge7_b6,1.181735986,NO_DEFENSE,ENGLISH OPENING,Equal,21,0.75,1
23,SICILIAN DEFENSE,TRUE,13,RESIGN,BLACK,BLITZ,e4,c5,e4_d4_Qxd4_Qa4_Be3,c5_cxd4_Nc6_e5_Nf6,0.782150387,DEFENSE,SICILIAN DEFENSE,Equal,22,0.75,1
26,SLAV DEFENSE,TRUE,53,RESIGN,BLACK,BLITZ,d4,d5,d4_c4_e3_Bxc4_Nc3,d5_c6_dxc4_Nf6_e6,0.91349481,DEFENSE,SLAV DEFENSE,Equal,25,0.75,1
27,QUEEN'S GAMBIT REFUSED,TRUE,66,MATE,BLACK,BLITZ,d4,d5,d4_c4_Nc3_Nf3_e3,d5_Nf6_Nc6_e6_Bd6,0.93815331,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,26,0.75,1
29,SICILIAN DEFENSE,TRUE,64,MATE,BLACK,BLITZ,e4,c5,e4_Nf3_Bb5+_Bxd7+_O-O,c5_d6_Bd7_Nxd7_Ngf6,1.19760479,DEFENSE,SICILIAN DEFENSE,Equal,28,0.75,1
30,SICILIAN DEFENSE,TRUE,54,RESIGN,WHITE,BLITZ,e4,c5,e4_Nf3_exd5_Nc3_Qe2,c5_d5_Qxd5_Qe6+_Qxe2+,1.180569185,DEFENSE,SICILIAN DEFENSE,Equal,29,0.75,1
39,SICILIAN DEFENSE,FALSE,71,RESIGN,BLACK,BLITZ,e4,c5,e4_Nc3_Bc4_Qe2_e5,c5_d6_Nf6_g6_dxe5,1.268916155,DEFENSE,SICILIAN DEFENSE,Equal,37,0.75,1
49,SICILIAN DEFENSE,TRUE,3,RESIGN,WHITE,BLITZ,e4,c5,e4_Nc3___,c5____,0.938,DEFENSE,SICILIAN DEFENSE,Equal,47,0.75,1
51,PHILIDOR DEFENSE,TRUE,30,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_d4_Nxd4_Bc4,e5_d6_exd4_g6_Nf6,0.980582524,DEFENSE,PHILIDOR DEFENSE,Equal,49,0.75,1
52,SCOTCH GAME,TRUE,44,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_d4_c3_d5,e5_Nc6_Bb4+_Bd6_Nce7,1.125965997,NO_DEFENSE,SCOTCH GAME,Equal,50,0.75,1
53,PHILIDOR DEFENSE,TRUE,29,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bc4_exf5_Nc3,e5_d6_f5_Bxf5_e4,1.040245566,DEFENSE,PHILIDOR DEFENSE,Equal,51,0.75,1
54,FRENCH DEFENSE,TRUE,37,RESIGN,BLACK,BLITZ,e4,e6,e4_Nf3_exd5_d4_c4,e6_d5_exd5_Bg4_Bb4+,0.764407853,DEFENSE,FRENCH DEFENSE,Equal,52,0.75,1
55,MODERN DEFENSE,TRUE,49,RESIGN,WHITE,BLITZ,d4,g6,d4_Nf3_Bf4_e3_c3,g6_Bg7_d6_Nd7_e5,0.996185633,DEFENSE,MODERN DEFENSE,Equal,53,0.75,1
56,HORWITZ DEFENSE,TRUE,32,RESIGN,BLACK,BLITZ,d4,e6,d4_Bf4_c3_b3_cxd4,e6_c5_Qb6_cxd4_Bb4+,0.98317757,DEFENSE,HORWITZ DEFENSE,Equal,54,0.75,1
57,BLUMENFELD COUNTERGAMBIT,TRUE,25,RESIGN,WHITE,BLITZ,d4,Nf6,d4_c4_Nf3_d5_cxd5,Nf6_e6_c5_exd5_c4,1.226438963,NO_DEFENSE,OTHER,Equal,55,0.75,1
58,FRENCH DEFENSE,TRUE,40,MATE,BLACK,BLITZ,e4,e6,e4_Bc4_exd5_Bb3_Ne2,e6_d5_exd5_Qe7+_Nf6,1.031887755,DEFENSE,FRENCH DEFENSE,Equal,56,0.75,1
59,ZUKERTORT OPENING,TRUE,39,RESIGN,WHITE,BLITZ,Nf3,g6,Nf3_g3_Bg2_O-O_c3,g6_Bg7_e6_Ne7_c5,1.114993647,NO_DEFENSE,ZUKERTORT OPENING,Equal,57,0.75,1
67,QUEEN'S PAWN GAME,TRUE,54,RESIGN,BLACK,STANDARD,d4,d5,d4_Bf4_e3_Nf3_h3,d5_Nc6_Nf6_Bg4_Bh5,1.031027796,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,65,0.75,1
68,FRENCH DEFENSE,TRUE,37,RESIGN,WHITE,STANDARD,e4,e6,e4_d4_exd5_Bd3_h3,e6_d5_exd5_Bd6_Ne7,1.160100063,DEFENSE,FRENCH DEFENSE,Equal,66,0.75,1
71,FRENCH DEFENSE,TRUE,48,RESIGN,WHITE,STANDARD,e4,e6,e4_Qe2_Nf3_g3_Bg2,e6_c5_Nc6_g6_Bg7,1.089297023,DEFENSE,FRENCH DEFENSE,Equal,69,0.75,1
