"","rated","turns","victory_status","winner","opening_name","pace_type","W1","B1","W_First5","B_First5","Rating_WB"
"1",FALSE,13,"OUTOFTIME","WHITE","SLAV DEFENSE: EXCHANGE VARIATION","STANDARD","d4","d5","d4_c4_cxd5_dxe6_Nf3","d5_c6_e6_fxe6_Bb4+",1.259445844
"2",TRUE,16,"RESIGN","BLACK","NIMZOWITSCH DEFENSE: KENNEDY VARIATION","BLITZ","d4","Nc6","d4_e4_f4_dxe5_fxe5","Nc6_e5_f6_fxe5_Nxe5",1.048374306
"3",TRUE,61,"MATE","WHITE","KING'S PAWN GAME: LEONARDIS VARIATION","BLITZ","e4","e5","e4_d3_Be3_Be2_Nd2","e5_d6_c6_b5_a5",0.997333333
"4",TRUE,61,"MATE","WHITE","QUEEN'S PAWN GAME: ZUKERTORT VARIATION","STANDARD","d4","d5","d4_Nf3_Nc3_Bf4_e3","d5_Bf5_Nf6_Ng4_Nc6",0.989683631
"5",TRUE,95,"MATE","WHITE","PHILIDOR DEFENSE","STANDARD","e4","e5","e4_Nf3_d4_d5_a3","e5_d6_Nc6_Nb4_Na6",1.0367597
"7",TRUE,33,"RESIGN","WHITE","BLACKMAR-DIEMER GAMBIT: PIETROWSKY DEFENSE","BLITZ","d4","d5","d4_e4_Nc3_f3_Nxf3","d5_dxe4_Nf6_exf3_Nc6",1.068165847
"8",FALSE,9,"RESIGN","BLACK","NIMZOWITSCH DEFENSE: KENNEDY VARIATION |  LINKSSPRINGER VARIATION","STANDARD","e4","Nc6","e4_d4_d5_c3_b4","Nc6_e5_Nce7_Ng6_",0.670303605
"9",TRUE,66,"RESIGN","BLACK","ITALIAN GAME: SCHILLING-KOSTIC GAMBIT","STANDARD","e4","e5","e4_Bc4_Nf3_d3_Qxf3","e5_Nc6_Nd4_Nxf3+_Nf6",1.033764368
"10",TRUE,119,"MATE","WHITE","SCANDINAVIAN DEFENSE: MIESES-KOTROC VARIATION","BLITZ","e4","d5","e4_exd5_Nc3_Be2_d4","d5_Qxd5_Qe5+_Na6_Qf5",1.142266336
"11",FALSE,39,"MATE","WHITE","VAN'T KRUIJS OPENING","STANDARD","e3","e6","e3_d4_Bd3_Nf3_Nc3","e6_d6_c6_Be7_Nf6",1.085691824
"12",FALSE,38,"RESIGN","BLACK","FRENCH DEFENSE: ADVANCE VARIATION |  PAULSEN ATTACK","STANDARD","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Nc6_Qb6",0.739689341
"13",FALSE,60,"RESIGN","BLACK","FRENCH DEFENSE: KNIGHT VARIATION","BLITZ","e4","e6","e4_Nf3_exd5_Qe2+_Nc3","e6_d5_exd5_Be7_Nf6",0.713326446
"14",FALSE,31,"RESIGN","BLACK","FRENCH DEFENSE #2","BLITZ","e4","e6","e4_Qh5_Qe5_d4_Qb5+","e6_g6_Nf6_d6_Bd7",0.859365277
"15",FALSE,31,"MATE","WHITE","FOUR KNIGHTS GAME: ITALIAN VARIATION","STANDARD","e4","e5","e4_Nf3_Bc4_Nc3_O-O","e5_Nc6_Nf6_Bc5_O-O",0.958808063
"16",FALSE,43,"RESIGN","BLACK","ITALIAN GAME: TWO KNIGHTS DEFENSE |  KNIGHT ATTACK","STANDARD","e4","e5","e4_Nf3_Bc4_Ng5_O-O","e5_Nc6_Nf6_Qe7_Nxe4",1.042961609
