"","P21","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","op_name"
"1","SLAV DEFENSE","FALSE",13,"OUTOFTIME","WHITE","STANDARD","d4","d5","d4_c4_cxd5_dxe6_Nf3","d5_c6_e6_fxe6_Bb4+",1.25944584382872,"DEFENSE","SLAV DEFENSE"
"2","NIMZOWITSCH DEFENSE","TRUE",16,"RESIGN","BLACK","BLITZ","d4","Nc6","d4_e4_f4_dxe5_fxe5","Nc6_e5_f6_fxe5_Nxe5",1.04837430610626,"DEFENSE","NIMZOWITSCH DEFENSE"
"3","KING'S PAWN GAME","TRUE",61,"MATE","WHITE","BLITZ","e4","e5","e4_d3_Be3_Be2_Nd2","e5_d6_c6_b5_a5",0.997333333333333,"NO_DEFENSE","KING'S PAWN GAME"
"4","QUEEN'S PAWN GAME","TRUE",61,"MATE","WHITE","STANDARD","d4","d5","d4_Nf3_Nc3_Bf4_e3","d5_Bf5_Nf6_Ng4_Nc6",0.989683631361761,"NO_DEFENSE","QUEEN'S PAWN GAME"
"5","PHILIDOR DEFENSE","TRUE",95,"MATE","WHITE","STANDARD","e4","e5","e4_Nf3_d4_d5_a3","e5_d6_Nc6_Nb4_Na6",1.03675970047651,"DEFENSE","PHILIDOR DEFENSE"
"6","SICILIAN DEFENSE","FALSE",5,"DRAW","DRAW","BLITZ","e4","c5","e4_Nf3_a3__","c5_Qa5___",1.24750499001996,"DEFENSE","SICILIAN DEFENSE"
"7","BLACKMAR-DIEMER GAMBIT","TRUE",33,"RESIGN","WHITE","BLITZ","d4","d5","d4_e4_Nc3_f3_Nxf3","d5_dxe4_Nf6_exf3_Nc6",1.06816584680253,"DEFENSE","OTHER"
"8","NIMZOWITSCH DEFENSE","FALSE",9,"RESIGN","BLACK","STANDARD","e4","Nc6","e4_d4_d5_c3_b4","Nc6_e5_Nce7_Ng6_",0.670303605313093,"DEFENSE","NIMZOWITSCH DEFENSE"
"9","ITALIAN GAME","TRUE",66,"RESIGN","BLACK","STANDARD","e4","e5","e4_Bc4_Nf3_d3_Qxf3","e5_Nc6_Nd4_Nxf3+_Nf6",1.03376436781609,"NO_DEFENSE","ITALIAN GAME"
"10","SCANDINAVIAN DEFENSE","TRUE",119,"MATE","WHITE","BLITZ","e4","d5","e4_exd5_Nc3_Be2_d4","d5_Qxd5_Qe5+_Na6_Qf5",1.14226633581472,"DEFENSE","SCANDINAVIAN DEFENSE"
"11","VAN'T KRUIJS OPENING","FALSE",39,"MATE","WHITE","STANDARD","e3","e6","e3_d4_Bd3_Nf3_Nc3","e6_d6_c6_Be7_Nf6",1.08569182389937,"NO_DEFENSE","VAN'T KRUIJS OPENING"
"12","FRENCH DEFENSE","FALSE",38,"RESIGN","BLACK","STANDARD","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Nc6_Qb6",0.739689341189073,"DEFENSE","FRENCH DEFENSE"
"13","FRENCH DEFENSE","FALSE",60,"RESIGN","BLACK","BLITZ","e4","e6","e4_Nf3_exd5_Qe2+_Nc3","e6_d5_exd5_Be7_Nf6",0.713326446280992,"DEFENSE","FRENCH DEFENSE"
"14","FRENCH DEFENSE","FALSE",31,"RESIGN","BLACK","BLITZ","e4","e6","e4_Qh5_Qe5_d4_Qb5+","e6_g6_Nf6_d6_Bd7",0.859365276913503,"DEFENSE","FRENCH DEFENSE"
"15","FOUR KNIGHTS GAME","FALSE",31,"MATE","WHITE","STANDARD","e4","e5","e4_Nf3_Bc4_Nc3_O-O","e5_Nc6_Nf6_Bc5_O-O",0.958808063102542,"NO_DEFENSE","FOUR KNIGHTS GAME"
