"X","op_name","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","WOE_Opening_Name","rating_bins","ID_unit","Prob","Stratum"
1,"ALEKHINE DEFENSE",TRUE,34,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_d4_Bc4_Bb3","Nf6_Nd5_d6_Nb6_dxe5",0.743553680262541,"DEFENSE",0.214844748499515,"Black Favoured",1,0.75,1
10,"ALEKHINE DEFENSE",TRUE,64,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_c4_Nf3_exd6","Nf6_Nd5_Nb6_d6_cxd6",0.865021770682148,"DEFENSE",0.214844748499515,"Black Favoured",10,0.75,1
27,"ALEKHINE DEFENSE",TRUE,74,"RESIGN","BLACK","BULLET","e4","Nf6","e4_e5_d4_exd6_Nf3","Nf6_Nd5_d6_cxd6_Nc6",0.8864522417154,"DEFENSE",0.214844748499515,"Black Favoured",27,0.75,1
32,"ALEKHINE DEFENSE",TRUE,102,"MATE","BLACK","STANDARD","e4","Nf6","e4_Qf3_Bc4_d3_exd5","Nf6_d6_Be6_d5_Bxd5",0.825333333333333,"DEFENSE",0.214844748499515,"Black Favoured",32,0.75,1
47,"ALEKHINE DEFENSE",TRUE,30,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_h3_Qf3_g4_g5","Nf6_Nxe4_Nf6_e6_Nd5",0.571365444100751,"DEFENSE",0.214844748499515,"Black Favoured",47,0.75,1
56,"ALEKHINE DEFENSE",TRUE,122,"MATE","BLACK","STANDARD","e4","Nf6","e4_Nc3_exd5_Nxd5_Nf3","Nf6_d5_Nxd5_Qxd5_Bg4",0.85412147505423,"DEFENSE",0.214844748499515,"Black Favoured",56,0.75,1
60,"ALEKHINE DEFENSE",TRUE,80,"MATE","BLACK","BLITZ","e4","Nf6","e4_Nf3_Be2_O-O_d4","Nf6_Nxe4_d5_c5_cxd4",0.740271097507652,"DEFENSE",0.214844748499515,"Black Favoured",60,0.75,1
71,"ALEKHINE DEFENSE",FALSE,69,"MATE","WHITE","STANDARD","e4","Nf6","e4_e5_Qxh5_Qd1_d4","Nf6_Nh5_g6_d5_e6",0.758443465491924,"DEFENSE",0.214844748499515,"Black Favoured",71,0.75,1
76,"ALEKHINE DEFENSE",TRUE,24,"MATE","BLACK","STANDARD","e4","Nf6","e4_e5_Nf3_Nc3_Nxd5","Nf6_Nd5_d6_dxe5_Qxd5",0.855788761002031,"DEFENSE",0.214844748499515,"Black Favoured",76,0.75,1
82,"ALEKHINE DEFENSE",FALSE,67,"OUTOFTIME","WHITE","BLITZ","e4","Nf6","e4_Nc3_Bb5+_Ba4_d3","Nf6_d5_c6_dxe4_exd3",0.675,"DEFENSE",0.214844748499515,"Black Favoured",82,0.75,1
